id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
1100,SSC CHSL,2022,General Awareness,History,Easy,Identify the event associated with the given year.,4,1
1101,SSC CHSL,2021,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,5,2
1102,IBPS PO,2021,Reasoning,Coding Decoding,Medium,Decode the given word using the same logic as the example.,5,2
1103,IBPS PO,2024,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",2,1
1104,RRB NTPC,2021,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,5,1
1105,SSC CGL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
1106,RRB NTPC,2022,Quantitative Aptitude,Percentage,Easy,"If a value decreases by 50%, find the resulting percentage change.",4,1
1107,SSC CGL,2021,General Awareness,Geography,Hard,Which river is the longest in India?,5,3
1108,IBPS PO,2021,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 15% above cost price. Find the marked price.,5,3
1109,SSC CGL,2023,Quantitative Aptitude,Geometry,Hard,Find the area of a triangle with base 150 cm and height 36 cm.,3,3
1110,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Hard,A can complete a work in 750 days and B in 8 days. Find the time taken together.,4,3
1111,SSC CHSL,2022,English,Vocabulary,Medium,Choose the correct meaning of the word.,4,2
1112,SSC CGL,2023,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,3,1
1113,SSC CGL,2023,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,3,2
1114,SSC CGL,2025,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 300 days and B in 36 days. Find the time taken together.,1,2
1115,SSC CGL,2021,English,Grammar,Hard,Choose the grammatically correct sentence.,5,3
1116,SSC CGL,2021,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,5,3
1117,RRB NTPC,2021,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,5,3
1118,SSC CGL,2025,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,1,1
1119,RRB NTPC,2023,Quantitative Aptitude,Geometry,Medium,Find the area of a triangle with base 300 cm and height 20 cm.,3,2
1120,SSC CGL,2023,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,3,2
1121,SSC CHSL,2021,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,5,3
1122,SSC CHSL,2021,General Awareness,Geography,Medium,Which state has the highest geographical area?,5,2
1123,IBPS PO,2025,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,1,1
1124,IBPS PO,2024,English,Vocabulary,Medium,Choose the antonym of the given word.,2,2
1125,IBPS PO,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
1126,SSC CGL,2022,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,4,2
1127,SSC CGL,2024,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,2,3
1128,RRB NTPC,2023,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,3,1
1129,IBPS PO,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
1130,IBPS PO,2025,English,Vocabulary,Hard,Choose the antonym of the given word.,1,3
1131,SSC CHSL,2025,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,1,1
1132,RRB NTPC,2024,English,Vocabulary,Medium,Choose the synonym of the given word.,2,2
1133,SSC CHSL,2023,General Awareness,History,Easy,Who founded the Maurya Empire?,3,1
1134,IBPS PO,2022,General Awareness,History,Medium,Identify the event associated with the given year.,4,2
1135,IBPS PO,2024,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,2,3
1136,SSC CHSL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
1137,RRB NTPC,2024,Quantitative Aptitude,Percentage,Easy,A student scored 12% marks in an exam. Find the marks obtained out of 100.,2,1
1138,SSC CGL,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
1139,SSC CHSL,2022,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,4,1
1140,SSC CGL,2024,Quantitative Aptitude,Data Interpretation,Easy,Analyse the bar graph and find the percentage change.,2,1
1141,SSC CHSL,2022,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",4,2
1142,RRB NTPC,2022,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,4,3
1143,SSC CHSL,2024,Quantitative Aptitude,Simple Interest,Hard,Find the principal amount given simple interest of 200 at 12% rate.,2,3
1144,SSC CHSL,2021,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,5,3
1145,SSC CHSL,2023,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,3,2
1146,SSC CHSL,2022,Quantitative Aptitude,Algebra,Hard,Simplify the given quadratic expression.,4,3
1147,SSC CGL,2023,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,3,1
1148,RRB NTPC,2022,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 100 hours. Find the time to fill 50% of the tank.,4,2
1149,SSC CGL,2025,General Awareness,History,Easy,Identify the event associated with the given year.,1,1
1150,RRB NTPC,2023,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,3,2
1151,SSC CGL,2025,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 150x + 30 = 0.,1,2
1152,RRB NTPC,2024,Reasoning,Direction Sense,Hard,A person walks 150 km north and then 36 km east. Find the shortest distance to start.,2,3
1153,RRB NTPC,2021,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,5,3
1154,SSC CHSL,2022,Reasoning,Series,Easy,Find the odd one out from the given series.,4,1
1155,IBPS PO,2021,General Awareness,History,Medium,Who founded the Maurya Empire?,5,2
1156,SSC CHSL,2021,English,Vocabulary,Easy,Choose the correct meaning of the word.,5,1
1157,IBPS PO,2021,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,5,3
1158,RRB NTPC,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
1159,SSC CGL,2023,Reasoning,Series,Easy,Find the next term in the given number series.,3,1
1160,SSC CGL,2023,General Awareness,Science,Easy,Which gas is essential for respiration?,3,1
1161,RRB NTPC,2024,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",2,1
1162,SSC CGL,2023,English,Vocabulary,Easy,Choose the antonym of the given word.,3,1
1163,SSC CHSL,2024,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,2,3
1164,SSC CGL,2022,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,4,3
1165,IBPS PO,2025,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,1,2
1166,RRB NTPC,2025,General Awareness,Science,Easy,Which gas is essential for respiration?,1,1
1167,RRB NTPC,2021,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,5,2
1168,IBPS PO,2021,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 750 at 40% rate.,5,2
1169,SSC CHSL,2021,Quantitative Aptitude,Profit and Loss,Easy,An article bought for 500 is sold for 36. Find the profit or loss percentage.,5,1
1170,RRB NTPC,2025,Reasoning,Series,Medium,Find the missing number in the series.,1,2
1171,SSC CGL,2021,Quantitative Aptitude,Percentage,Easy,A number is increased by 25%. Find the new value.,5,1
1172,RRB NTPC,2024,Quantitative Aptitude,Data Interpretation,Hard,Find the average from the given data table.,2,3
1173,IBPS PO,2022,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,4,1
1174,SSC CHSL,2021,English,Grammar,Medium,Choose the grammatically correct sentence.,5,2
1175,IBPS PO,2021,Reasoning,Series,Easy,Find the next term in the given number series.,5,1
1176,SSC CHSL,2023,Quantitative Aptitude,Percentage,Medium,The population of a town grew by 10% in a year. Find the increase.,3,2
1177,RRB NTPC,2023,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",3,2
1178,SSC CGL,2023,Quantitative Aptitude,Percentage,Easy,A number is increased by 30%. Find the new value.,3,1
1179,SSC CGL,2023,English,Reading Comprehension,Medium,Read the passage and answer the question.,3,2
1180,RRB NTPC,2023,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,3,2
1181,SSC CGL,2021,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,5,3
1182,SSC CGL,2024,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,2,1
1183,RRB NTPC,2021,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,5,1
1184,IBPS PO,2024,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,2,1
1185,SSC CHSL,2024,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,2,2
1186,SSC CHSL,2022,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,4,2
1187,SSC CGL,2022,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,4,3
1188,SSC CHSL,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
1189,IBPS PO,2021,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,5,3
1190,RRB NTPC,2021,General Awareness,History,Medium,Who founded the Maurya Empire?,5,2
1191,SSC CGL,2022,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 750 hours. Find the time to fill 20% of the tank.,4,3
1192,SSC CHSL,2022,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,4,1
1193,SSC CHSL,2023,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,3,1
1194,RRB NTPC,2022,General Awareness,History,Easy,Who founded the Maurya Empire?,4,1
1195,SSC CHSL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
1196,SSC CHSL,2021,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 200 at 30% per annum for 30 years.,5,1
1197,RRB NTPC,2025,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,1,3
1198,IBPS PO,2023,Quantitative Aptitude,Data Interpretation,Easy,Find the ratio of values shown in the given pie chart.,3,1
1199,RRB NTPC,2023,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,3,2
1200,SSC CHSL,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
1201,SSC CHSL,2024,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,2,2
1202,SSC CGL,2025,Quantitative Aptitude,Simple Interest,Hard,Find the simple interest on 400 at 40% per annum for 36 years.,1,3
1203,IBPS PO,2022,Quantitative Aptitude,Algebra,Medium,"If x + y = 100 and x - y = 36, find the value of x.",4,2
1204,SSC CHSL,2025,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,1,2
1205,SSC CGL,2022,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 300 at 40% per annum for 8 years.,4,2
1206,SSC CGL,2021,Quantitative Aptitude,Geometry,Easy,Find the type of triangle having all angles equal.,5,1
1207,SSC CGL,2025,Reasoning,Coding Decoding,Easy,"If CAT is coded as DBU, how is DOG coded?",1,1
1208,RRB NTPC,2021,English,Vocabulary,Medium,Choose the synonym of the given word.,5,2
1209,IBPS PO,2021,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 500 cm and breadth 10 cm.,5,2
1210,IBPS PO,2024,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,2,2
1211,IBPS PO,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
1212,IBPS PO,2022,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,4,3
1213,SSC CHSL,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
1214,RRB NTPC,2025,General Awareness,Current Affairs,Hard,Which event is currently in the news?,1,3
1215,IBPS PO,2021,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,5,1
1216,SSC CGL,2022,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,4,2
1217,IBPS PO,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
1218,SSC CGL,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
1219,IBPS PO,2023,General Awareness,Science,Easy,Which gas is essential for respiration?,3,1
1220,SSC CGL,2021,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,5,1
1221,SSC CHSL,2021,English,Reading Comprehension,Easy,Read the passage and answer the question.,5,1
1222,SSC CGL,2024,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,2,3
1223,SSC CGL,2021,English,Grammar,Easy,Choose the grammatically correct sentence.,5,1
1224,SSC CHSL,2023,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 200 at 10% rate.,3,2
1225,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 500 at 40% rate.,4,2
1226,SSC CGL,2024,Quantitative Aptitude,Geometry,Easy,Find the circumference of a circle with radius 750 cm.,2,1
1227,SSC CHSL,2022,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,4,3
1228,SSC CHSL,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
1229,IBPS PO,2024,Reasoning,Series,Medium,Find the odd one out from the given series.,2,2
1230,RRB NTPC,2025,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,1,2
1231,SSC CGL,2021,Quantitative Aptitude,Geometry,Hard,Find the type of triangle having all angles equal.,5,3
1232,IBPS PO,2025,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",1,3
1233,SSC CGL,2023,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",3,1
1234,IBPS PO,2023,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,3,2
1235,IBPS PO,2022,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,4,2
1236,SSC CGL,2023,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,3,2
1237,RRB NTPC,2025,Reasoning,Coding Decoding,Medium,Decode the given word using the same logic as the example.,1,2
1238,IBPS PO,2023,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,3,1
1239,RRB NTPC,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
1240,RRB NTPC,2021,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,5,2
1241,RRB NTPC,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
1242,RRB NTPC,2024,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,2,3
1243,SSC CHSL,2024,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,2,1
1244,RRB NTPC,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
1245,RRB NTPC,2022,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,4,1
1246,SSC CHSL,2021,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,5,1
1247,RRB NTPC,2022,English,Grammar,Medium,Choose the grammatically correct sentence.,4,2
1248,RRB NTPC,2024,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,2,1
1249,SSC CHSL,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
1250,SSC CGL,2024,General Awareness,Current Affairs,Medium,Which event is currently in the news?,2,2
1251,SSC CHSL,2023,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,3,2
1252,RRB NTPC,2021,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,5,2
1253,RRB NTPC,2023,Reasoning,Series,Medium,Find the odd one out from the given series.,3,2
1254,SSC CHSL,2025,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,1,2
1255,SSC CGL,2023,General Awareness,Science,Medium,Which gas is essential for respiration?,3,2
1256,IBPS PO,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
1257,IBPS PO,2022,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,4,1
1258,SSC CHSL,2025,English,Grammar,Hard,Identify the error in the sentence.,1,3
1259,RRB NTPC,2025,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,1,3
1260,SSC CGL,2022,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,4,3
1261,IBPS PO,2022,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,4,2
1262,SSC CHSL,2023,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,3,1
1263,IBPS PO,2022,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,4,2
1264,IBPS PO,2025,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 400 days and B in 15 days. Find the time taken together.,1,1
1265,IBPS PO,2025,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,1,2
1266,SSC CHSL,2025,English,Reading Comprehension,Hard,Read the passage and answer the question.,1,3
1267,RRB NTPC,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
1268,SSC CGL,2025,General Awareness,Geography,Easy,Which river is the longest in India?,1,1
1269,SSC CGL,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
1270,SSC CGL,2024,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,2,1
1271,SSC CHSL,2023,Quantitative Aptitude,Profit and Loss,Hard,Find the selling price if cost price is 250 and profit is 40%.,3,3
1272,SSC CHSL,2024,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,2,1
1273,SSC CGL,2023,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,3,2
1274,SSC CHSL,2021,Quantitative Aptitude,Profit and Loss,Easy,A trader allows a discount of 10%. Find the new selling price.,5,1
1275,IBPS PO,2023,Reasoning,Series,Easy,Find the odd one out from the given series.,3,1
1276,SSC CGL,2024,Quantitative Aptitude,Geometry,Hard,Find the perimeter of a rectangle with length 750 cm and breadth 8 cm.,2,3
1277,RRB NTPC,2022,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,4,3
1278,RRB NTPC,2024,Reasoning,Analogy,Hard,Book is related to Reading. Pen is related to?,2,3
1279,SSC CGL,2021,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 100 at 25% rate.,5,2
1280,SSC CGL,2025,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,1,1
1281,SSC CGL,2025,Quantitative Aptitude,Time and Work,Easy,Find the efficiency ratio of two workers given their individual work rates.,1,1
1282,SSC CGL,2025,General Awareness,History,Medium,Identify the event associated with the given year.,1,2
1283,SSC CHSL,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
1284,RRB NTPC,2022,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,4,2
1285,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Hard,Find the simple interest on 200 at 20% per annum for 20 years.,4,3
1286,IBPS PO,2022,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,4,2
1287,RRB NTPC,2022,English,Reading Comprehension,Medium,Identify the main idea of the given passage.,4,2
1288,SSC CGL,2022,Reasoning,Series,Easy,Find the next term in the given number series.,4,1
1289,RRB NTPC,2023,General Awareness,History,Easy,Who founded the Maurya Empire?,3,1
1290,SSC CGL,2024,General Awareness,Current Affairs,Medium,Which event is currently in the news?,2,2
1291,IBPS PO,2022,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,4,1
1292,RRB NTPC,2021,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,5,1
1293,IBPS PO,2021,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,5,3
1294,IBPS PO,2023,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,3,3
1295,RRB NTPC,2024,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,2,3
1296,SSC CGL,2023,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,3,3
1297,IBPS PO,2023,Quantitative Aptitude,Percentage,Hard,The population of a town grew by 25% in a year. Find the increase.,3,3
1298,SSC CGL,2024,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,2,2
1299,SSC CGL,2023,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,3,1
1300,RRB NTPC,2025,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,1,3
1301,SSC CHSL,2023,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 600 at 20% per annum for 36 years.,3,2
1302,SSC CGL,2025,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,1,3
1303,RRB NTPC,2022,Reasoning,Series,Easy,Find the next term in the given number series.,4,1
1304,IBPS PO,2023,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,3,1
1305,RRB NTPC,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
1306,RRB NTPC,2024,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 100 at 40% per annum for 20 years.,2,2
1307,IBPS PO,2024,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 400 cm and breadth 12 cm.,2,1
1308,SSC CGL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
1309,RRB NTPC,2023,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,3,3
1310,RRB NTPC,2024,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,2,2
1311,SSC CHSL,2021,English,Vocabulary,Medium,Choose the correct meaning of the word.,5,2
1312,SSC CHSL,2023,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,3,3
1313,SSC CGL,2021,Quantitative Aptitude,Percentage,Hard,"If a value decreases by 25%, find the resulting percentage change.",5,3
1314,SSC CGL,2022,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 750 at 20% rate.,4,1
1315,IBPS PO,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
1316,SSC CGL,2023,General Awareness,Current Affairs,Easy,Which event is currently in the news?,3,1
1317,IBPS PO,2022,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,4,1
1318,RRB NTPC,2021,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,5,1
1319,SSC CHSL,2022,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,4,2
1320,SSC CGL,2025,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 150 days and B in 24 days. Find the time taken together.,1,1
1321,IBPS PO,2023,Reasoning,Analogy,Medium,Choose the word that best completes the analogy.,3,2
1322,SSC CHSL,2022,General Awareness,History,Hard,Who founded the Maurya Empire?,4,3
1323,RRB NTPC,2024,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,2,3
1324,SSC CHSL,2022,Reasoning,Puzzle,Medium,Arrange the given items based on the clues provided.,4,2
1325,SSC CGL,2025,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,1,2
1326,RRB NTPC,2021,Quantitative Aptitude,Percentage,Medium,The population of a town grew by 15% in a year. Find the increase.,5,2
1327,IBPS PO,2023,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,3,2
1328,RRB NTPC,2023,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,3,1
1329,SSC CGL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
1330,SSC CGL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
1331,SSC CGL,2022,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 150 at 50% per annum for 10 years.,4,1
1332,SSC CHSL,2022,General Awareness,History,Hard,Who founded the Maurya Empire?,4,3
1333,SSC CHSL,2024,General Awareness,Current Affairs,Hard,Which event is currently in the news?,2,3
1334,SSC CHSL,2022,General Awareness,Geography,Easy,Which state has the highest geographical area?,4,1
1335,SSC CGL,2024,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",2,2
1336,IBPS PO,2021,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 150 at 40% rate.,5,2
1337,SSC CGL,2021,English,Vocabulary,Medium,Choose the antonym of the given word.,5,2
1338,SSC CHSL,2025,Reasoning,Series,Easy,Find the odd one out from the given series.,1,1
1339,IBPS PO,2021,Reasoning,Series,Easy,Find the odd one out from the given series.,5,1
1340,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 100 hours. Find the time to fill 20% of the tank.,1,2
1341,SSC CHSL,2024,Quantitative Aptitude,Time and Work,Medium,Find the efficiency ratio of two workers given their individual work rates.,2,2
1342,RRB NTPC,2022,Quantitative Aptitude,Geometry,Medium,Find the type of triangle having all angles equal.,4,2
1343,IBPS PO,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
1344,IBPS PO,2025,Reasoning,Series,Easy,Find the odd one out from the given series.,1,1
1345,RRB NTPC,2022,General Awareness,History,Easy,Who founded the Maurya Empire?,4,1
1346,IBPS PO,2025,General Awareness,Indian Polity,Easy,Who is known as the chief architect of the Indian Constitution?,1,1
1347,SSC CHSL,2024,Reasoning,Blood Relation,Medium,A is the son of B. B is the daughter of C. How is A related to C?,2,2
1348,IBPS PO,2023,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 250 days and B in 30 days. Find the time taken together.,3,1
1349,SSC CGL,2022,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,4,1
1350,SSC CGL,2024,Reasoning,Coding Decoding,Hard,"If CAT is coded as DBU, how is DOG coded?",2,3
1351,SSC CHSL,2021,Quantitative Aptitude,Time and Work,Hard,A can complete a work in 300 days and B in 8 days. Find the time taken together.,5,3
1352,RRB NTPC,2024,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,2,1
1353,SSC CHSL,2025,Reasoning,Syllogism,Easy,Determine whether the given statements follow logically.,1,1
1354,IBPS PO,2021,Reasoning,Series,Easy,Find the odd one out from the given series.,5,1
1355,SSC CHSL,2022,General Awareness,Current Affairs,Easy,Which event is currently in the news?,4,1
1356,SSC CGL,2022,Reasoning,Series,Easy,Find the odd one out from the given series.,4,1
1357,SSC CHSL,2021,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,5,2
1358,IBPS PO,2022,English,Grammar,Medium,Identify the error in the sentence.,4,2
1359,IBPS PO,2024,General Awareness,Geography,Easy,Which state has the highest geographical area?,2,1
1360,SSC CGL,2024,General Awareness,Geography,Easy,Which river is the longest in India?,2,1
1361,IBPS PO,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
1362,IBPS PO,2021,Quantitative Aptitude,Time and Work,Easy,A can complete a work in 150 days and B in 12 days. Find the time taken together.,5,1
1363,SSC CHSL,2021,Reasoning,Direction Sense,Medium,A person walks 600 km north and then 10 km east. Find the shortest distance to start.,5,2
1364,IBPS PO,2023,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,3,2
1365,SSC CGL,2022,English,Grammar,Medium,Choose the grammatically correct sentence.,4,2
1366,SSC CGL,2024,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,2,3
1367,SSC CHSL,2023,Reasoning,Series,Easy,Find the missing number in the series.,3,1
1368,IBPS PO,2024,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,2,1
1369,SSC CGL,2021,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,5,2
1370,IBPS PO,2022,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,4,1
